DATASET,DATUMROUND,TIJD,LINKS,RECHTS
r1_DFS-SAB,SAT 05-09 | ROUND 1,19:00,DFS.png,SAB.png
r1_HUP-SPR,SAT 05-09 | ROUND 1,20:00,HUP.png,SPR.png
r1_TAC-BEV,SAT 05-09 | ROUND 1,20:00,TAC.png,BEV.png
r1_HCV-VOL,SAT 05-09 | ROUND 1,20:15,HCV.png,VOL.png
r1_HUB-EUP,SAT 05-09 | ROUND 1,20:15,HUB.png,EUP.png
r1_IZE-HVA,SAT 05-09 | ROUND 1,20:15,IZE.png,HVA.png
r1_PEL-BWH,SAT 05-09 | ROUND 1,20:15,PEL.png,BWH.png
r2_HVA-HUB,SAT 12-09 | ROUND 2,16:00,HVA.png,HUB.png
r2_VOL-TAC,SAT 12-09 | ROUND 2,19:00,VOL.png,TAC.png
r2_HUP-HCV,SAT 12-09 | ROUND 2,20:00,HUP.png,HCV.png
r2_BEV-PEL,SAT 12-09 | ROUND 2,20:15,BEV.png,PEL.png
r2_BWH-DFS,SAT 12-09 | ROUND 2,20:15,BWH.png,DFS.png
r2_EUP-SPR,SAT 12-09 | ROUND 2,20:15,EUP.png,SPR.png
r2_SAB-IZE,SAT 12-09 | ROUND 2,20:15,SAB.png,IZE.png
r3_DFS-BEV,SAT 19-09 | ROUND 3,19:00,DFS.png,BEV.png
r3_HUP-VOL,SAT 19-09 | ROUND 3,20:00,HUP.png,VOL.png
r3_HCV-EUP,SAT 19-09 | ROUND 3,20:15,HCV.png,EUP.png
r3_HUB-SAB,SAT 19-09 | ROUND 3,20:15,HUB.png,SAB.png
r3_IZE-BWH,SAT 19-09 | ROUND 3,20:15,IZE.png,BWH.png
r3_PEL-TAC,SAT 19-09 | ROUND 3,20:15,PEL.png,TAC.png
r3_SPR-HVA,SUN 20-09 | ROUND 3,16:00,SPR.png,HVA.png
r4_BWH-HUB,SAT 26-09 | ROUND 4,19:00,BWH.png,HUB.png
r4_HVA-HCV,SAT 26-09 | ROUND 4,19:00,HVA.png,HCV.png
r4_HUP-EUP,SAT 26-09 | ROUND 4,20:00,HUP.png,EUP.png
r4_TAC-DFS,SAT 26-09 | ROUND 4,20:00,TAC.png,DFS.png
r4_BEV-IZE,SAT 26-09 | ROUND 4,20:15,BEV.png,IZE.png
r4_SAB-SPR,SAT 26-09 | ROUND 4,20:15,SAB.png,SPR.png
r4_VOL-PEL,SUN 27-09 | ROUND 4,14:00,VOL.png,PEL.png
r5_HUP-HVA,SAT 03-10 | ROUND 5,19:00,HUP.png,HVA.png
r5_EUP-VOL,SAT 03-10 | ROUND 5,20:15,EUP.png,VOL.png
r5_HCV-SAB,SAT 03-10 | ROUND 5,20:15,HCV.png,SAB.png
r5_HUB-BEV,SAT 03-10 | ROUND 5,20:15,HUB.png,BEV.png
r5_IZE-TAC,SAT 03-10 | ROUND 5,20:15,IZE.png,TAC.png
r5_PEL-DFS,SAT 03-10 | ROUND 5,20:15,PEL.png,DFS.png
r5_SPR-BWH,SUN 04-10 | ROUND 5,14:00,SPR.png,BWH.png
r6_BWH-HCV,SAT 10-10 | ROUND 6,19:00,BWH.png,HCV.png
r6_VOL-DFS,SAT 10-10 | ROUND 6,19:00,VOL.png,DFS.png
r6_TAC-HUB,SAT 10-10 | ROUND 6,20:00,TAC.png,HUB.png
r6_BEV-SPR,SAT 10-10 | ROUND 6,20:15,BEV.png,SPR.png
r6_PEL-IZE,SAT 10-10 | ROUND 6,20:15,PEL.png,IZE.png
r6_HVA-EUP,SUN 11-10 | ROUND 6,15:00,HVA.png,EUP.png
r6_SAB-HUP,SUN 11-10 | ROUND 6,15:30,SAB.png,HUP.png
r7_HVA-VOL,SAT 17-10 | ROUND 7,19:00,HVA.png,VOL.png
r7_HUP-BWH,SAT 17-10 | ROUND 7,20:00,HUP.png,BWH.png
r7_EUP-SAB,SAT 17-10 | ROUND 7,20:15,EUP.png,SAB.png
r7_HCV-BEV,SAT 17-10 | ROUND 7,20:15,HCV.png,BEV.png
r7_HUB-PEL,SAT 17-10 | ROUND 7,20:15,HUB.png,PEL.png
r7_IZE-DFS,SAT 17-10 | ROUND 7,20:15,IZE.png,DFS.png
r7_SPR-TAC,SUN 18-10 | ROUND 7,16:00,SPR.png,TAC.png
r8_DFS-HUB,SAT 24-10 | ROUND 8,19:00,DFS.png,HUB.png
r8_TAC-HCV,SAT 24-10 | ROUND 8,20:00,TAC.png,HCV.png
r8_BEV-HUP,SAT 24-10 | ROUND 8,20:15,BEV.png,HUP.png
r8_BWH-EUP,SAT 24-10 | ROUND 8,20:15,BWH.png,EUP.png
r8_PEL-SPR,SAT 24-10 | ROUND 8,20:15,PEL.png,SPR.png
r8_SAB-HVA,SAT 24-10 | ROUND 8,20:15,SAB.png,HVA.png
r8_VOL-IZE,SUN 25-10 | ROUND 8,14:00,VOL.png,IZE.png
r9_HVA-BWH,SAT 31-10 | ROUND 9,19:00,HVA.png,BWH.png
r9_DFS-SPR,SAT 31-10 | ROUND 9,20:00,DFS.png,SPR.png
r9_HUP-TAC,SAT 31-10 | ROUND 9,20:00,HUP.png,TAC.png
r9_EUP-BEV,SAT 31-10 | ROUND 9,20:15,EUP.png,BEV.png
r9_HCV-PEL,SAT 31-10 | ROUND 9,20:15,HCV.png,PEL.png
r9_HUB-IZE,SAT 31-10 | ROUND 9,20:15,HUB.png,IZE.png
r9_SAB-VOL,SAT 31-10 | ROUND 9,20:15,SAB.png,VOL.png
r10_DFS-HCV,SAT 14-11 | ROUND 10,19:00,DFS.png,HCV.png
r10_TAC-EUP,SAT 14-11 | ROUND 10,20:00,TAC.png,EUP.png
r10_BEV-HVA,SAT 14-11 | ROUND 10,20:15,BEV.png,HVA.png
