DATASET,DATUMROUND,TIJD,LINKS,RECHTS
r1_MHV-PSV,ZATERDAG 05-09 | RONDE 1,19:00,MHV.png,PSV.png
r1_WPK-VZV,ZATERDAG 05-09 | RONDE 1,19:00,WPK.png,VZV.png
r1_FORV-VOC,ZATERDAG 05-09 | RONDE 1,19:00,FORV.png,VOC.png
r1_FORE-VEL,ZATERDAG 05-09 | RONDE 1,19:30,FORE.png,VEL.png
r1_QUI-DSVD,ZATERDAG 05-09 | RONDE 1,19:00,QUI.png,DSVD.png
r1_VOL-ENO,ZATERDAG 05-09 | RONDE 1,17:00,VOL.png,ENO.png
r1_SEW-KWI,ZATERDAG 05-09 | RONDE 1,19:00,SEW.png,KWI.png
r2_ENO-MHV,ZATERDAG 12-09 | RONDE 2,19:00,ENO.png,MHV.png
r2_VEL-WPK,ZATERDAG 12-09 | RONDE 2,19:00,VEL.png,WPK.png
r2_DSVD-FORV,ZATERDAG 12-09 | RONDE 2,19:00,DSVD.png,FORV.png
r2_VZV-KWI,ZATERDAG 12-09 | RONDE 2,19:00,VZV.png,KWI.png
r2_VOC-VOL,ZATERDAG 12-09 | RONDE 2,19:00,VOC.png,VOL.png
r2_PSV-FORE,ZATERDAG 12-09 | RONDE 2,21:00,PSV.png,FORE.png
r2_SEW-QUI,ZATERDAG 12-09 | RONDE 2,19:00,SEW.png,QUI.png
r3_WPK-PSV,ZATERDAG 19-09 | RONDE 3,19:00,WPK.png,PSV.png
r3_FORV-SEW,ZATERDAG 19-09 | RONDE 3,19:00,FORV.png,SEW.png
r3_KWI-VEL,ZATERDAG 19-09 | RONDE 3,19:00,KWI.png,VEL.png
r3_FORE-MHV,ZATERDAG 19-09 | RONDE 3,19:45,FORE.png,MHV.png
r3_QUI-VZV,ZATERDAG 19-09 | RONDE 3,19:00,QUI.png,VZV.png
r3_VOC-ENO,ZATERDAG 19-09 | RONDE 3,19:00,VOC.png,ENO.png
r3_VOL-DSVD,ZATERDAG 19-09 | RONDE 3,19:00,VOL.png,DSVD.png
r4_PSV-KWI,WOENSDAG 23-09 | RONDE 4,20:15,PSV.png,KWI.png
r5_VEL-QUI,ZATERDAG 26-09 | RONDE 5,19:00,VEL.png,QUI.png
r6_KWI-MHV,DINSDAG 29-09 | RONDE 6,20:00,KWI.png,MHV.png
r7_ENO-FORE,ZATERDAG 03-10 | RONDE 7,21:00,ENO.png,FORE.png
r7_MHV-WPK,ZATERDAG 03-10 | RONDE 7,19:00,MHV.png,WPK.png
r7_DSVD-VOC,ZATERDAG 03-10 | RONDE 7,19:00,DSVD.png,VOC.png
r7_VZV-FORV,ZATERDAG 03-10 | RONDE 7,19:00,VZV.png,FORV.png
r7_SEW-VOL,ZATERDAG 03-10 | RONDE 7,19:00,SEW.png,VOL.png
r8_FORV-VEL,ZATERDAG 10-10 | RONDE 8,19:00,FORV.png,VEL.png
r8_DSVD-ENO,ZATERDAG 10-10 | RONDE 8,19:00,DSVD.png,ENO.png
r8_FORE-WPK,ZATERDAG 10-10 | RONDE 8,20:45,FORE.png,WPK.png
r8_QUI-PSV,ZATERDAG 10-10 | RONDE 8,19:00,QUI.png,PSV.png
r8_VOC-SEW,ZATERDAG 10-10 | RONDE 8,19:00,VOC.png,SEW.png
r8_VOL-VZV,ZATERDAG 10-10 | RONDE 8,21:00,VOL.png,VZV.png
r9_ENO-WPK,ZATERDAG 17-10 | RONDE 9,20:00,ENO.png,WPK.png
r9_MHV-QUI,ZATERDAG 17-10 | RONDE 9,19:00,MHV.png,QUI.png
r9_VEL-VOL,ZATERDAG 17-10 | RONDE 9,19:00,VEL.png,VOL.png
r9_VZV-VOC,ZATERDAG 17-10 | RONDE 9,19:00,VZV.png,VOC.png
r9_FORE-KWI,ZATERDAG 17-10 | RONDE 9,19:30,FORE.png,KWI.png
r9_PSV-FORV,ZATERDAG 17-10 | RONDE 9,19:30,PSV.png,FORV.png
r9_SEW-DSVD,ZATERDAG 17-10 | RONDE 9,19:00,SEW.png,DSVD.png
r10_FORV-MHV,ZATERDAG 31-10 | RONDE 10,19:00,FORV.png,MHV.png
r10_DSVD-VZV,ZATERDAG 31-10 | RONDE 10,19:00,DSVD.png,VZV.png
r10_KWI-WPK,ZATERDAG 31-10 | RONDE 10,19:00,KWI.png,WPK.png
r10_QUI-FORE,ZATERDAG 31-10 | RONDE 10,19:00,QUI.png,FORE.png
r10_VOC-VEL,ZATERDAG 31-10 | RONDE 10,19:00,VOC.png,VEL.png
r10_VOL-PSV,ZATERDAG 31-10 | RONDE 10,19:00,VOL.png,PSV.png
r10_SEW-ENO,ZATERDAG 31-10 | RONDE 10,19:00,SEW.png,ENO.png
r11_ENO-KWI,ZATERDAG 07-11 | RONDE 11,19:00,ENO.png,KWI.png
r11_MHV-VOL,ZATERDAG 07-11 | RONDE 11,19:00,MHV.png,VOL.png
r11_VEL-DSVD,ZATERDAG 07-11 | RONDE 11,19:00,VEL.png,DSVD.png
r11_VZV-SEW,ZATERDAG 07-11 | RONDE 11,19:00,VZV.png,SEW.png
r11_FORE-FORV,ZATERDAG 07-11 | RONDE 11,20:45,FORE.png,FORV.png
r11_PSV-VOC,ZATERDAG 07-11 | RONDE 11,21:00,PSV.png,VOC.png
r12_WPK-QUI,ZONDAG 08-11 | RONDE 12,14:30,WPK.png,QUI.png
r13_FORV-WPK,ZATERDAG 14-11 | RONDE 13,19:00,FORV.png,WPK.png
r13_DSVD-PSV,ZATERDAG 14-11 | RONDE 13,19:00,DSVD.png,PSV.png
r13_FORE-VOL,ZATERDAG 14-11 | RONDE 13,20:45,FORE.png,VOL.png
r13_QUI-KWI,ZATERDAG 14-11 | RONDE 13,19:00,QUI.png,KWI.png
r13_VOC-MHV,ZATERDAG 14-11 | RONDE 13,19:00,VOC.png,MHV.png
r13_SEW-VEL,ZATERDAG 14-11 | RONDE 13,19:00,SEW.png,VEL.png
r14_VZV-ENO,ZONDAG 15-11 | RONDE 14,13:00,VZV.png,ENO.png
r15_PSV-SEW,ZATERDAG 21-11 | RONDE 15,21:00,PSV.png,SEW.png
r15_ENO-QUI,ZATERDAG 21-11 | RONDE 15,21:00,ENO.png,QUI.png
r15_MHV-DSVD,ZATERDAG 21-11 | RONDE 15,20:30,MHV.png,DSVD.png
r15_WPK-VOL,ZATERDAG 21-11 | RONDE 15,19:00,WPK.png,VOL.png
r15_VEL-VZV,ZATERDAG 21-11 | RONDE 15,19:00,VEL.png,VZV.png
r15_KWI-FORV,ZATERDAG 21-11 | RONDE 15,19:00,KWI.png,FORV.png
r15_FORE-VOC,ZATERDAG 21-11 | RONDE 15,20:45,FORE.png,VOC.png
r16_FORV-QUI,ZATERDAG 28-11 | RONDE 16,19:00,FORV.png,QUI.png
r16_VEL-ENO,ZATERDAG 28-11 | RONDE 16,19:00,VEL.png,ENO.png
r16_DSVD-FORE,ZATERDAG 28-11 | RONDE 16,19:00,DSVD.png,FORE.png
r16_VZV-PSV,ZATERDAG 28-11 | RONDE 16,19:00,VZV.png,PSV.png
r16_VOC-WPK,ZATERDAG 28-11 | RONDE 16,19:00,VOC.png,WPK.png
r16_VOL-KWI,ZATERDAG 28-11 | RONDE 16,19:00,VOL.png,KWI.png
r16_SEW-MHV,ZATERDAG 28-11 | RONDE 16,19:00,SEW.png,MHV.png
r17_PSV-VEL,ZATERDAG 05-12 | RONDE 17,21:00,PSV.png,VEL.png
r17_MHV-VZV,ZATERDAG 05-12 | RONDE 17,20:30,MHV.png,VZV.png
r17_WPK-DSVD,ZATERDAG 05-12 | RONDE 17,19:00,WPK.png,DSVD.png
r17_FORV-ENO,ZATERDAG 05-12 | RONDE 17,19:00,FORV.png,ENO.png
r17_KWI-VOC,ZATERDAG 05-12 | RONDE 17,19:00,KWI.png,VOC.png
r17_QUI-VOL,ZATERDAG 05-12 | RONDE 17,19:00,QUI.png,VOL.png
